TIMESTAMP,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~AVERAGE,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~STD_DEV,2014-06-20_13:45~PRACTICEAPILOADTEST0620~MAIN~REQUESTS~PER_SECOND,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~MEDIAN,2014-06-20_13:45~PRACTICEAPI~MAIN~COMPLETED~PER_SECOND,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~AVERAGE,2014-06-20_13:45~PRACTICEAPI~MAIN~TIME_TAKEN~AVERAGE,2014-06-20_13:45~PRACTICEAPI~MAIN~THROUGHPUT~TPS,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~PERCENTILE_75TH,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~STD_DEV,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~PERCENTILE_75TH,2014-06-20_13:45~PRACTICEAPI~MAIN~RUNNING~VALUE,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_TIMETAKEN~PERCENTILE_90TH,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~PERCENTILE_25TH,2014-06-20_13:45~PRACTICEAPI~MAIN~REQUESTCREATE:_RESPONSESIZE~PERCENTILE_90TH
00:01:09,,,0.0,,0.0,,77.0,0.0,,,,100.0,,,
00:01:10,,,1.0,,1.0,,,0.0,,,,99.992,,,
00:01:11,,,0.0,,0.0,,,0.0,,,,100.0,,,
00:01:12,,,0.0,,0.0,,,0.0,,,,100.0,,,
00:01:13,123.0,244.5,0.0,679.5,0.0,679.5,,0.0,123.0,0.0,801.75,100.0,875.1,123.0,123.0
00:01:14,123.0,1584.3430608342312,0.0,2769.0,0.0,2908.8055555555557,,1.0,123.0,0.0,4168.0,100.0,5091.0,123.0,123.0
00:01:15,123.0,320.1376617159868,0.0,648.0,0.0,713.1428571428571,,0.0,123.0,0.0,899.0,100.0,1116.8000000000002,123.0,123.0
00:01:16,,,1.0,,1.0,,0.0,2.0,,,,99.995,,,
00:01:17,102.5,113.02359635639513,0.0,43.0,0.0,86.0,,0.0,123.0,45.83939353874569,65.25,100.0,203.0,123.0,123.0
00:01:18,123.0,451.3390743110993,0.0,64.0,0.0,413.8,,0.0,123.0,0.0,941.0,100.0,971.0,123.0,123.0
00:01:19,,,0.0,,0.0,,,0.0,,,,100.0,,,
00:01:20,123.0,1313.4166085062272,0.0,61.0,0.0,807.25,,0.0,123.0,0.0,820.75,100.0,2177.5000000000005,123.0,123.0
00:01:21,123.0,0.0,0.0,22.0,0.0,22.0,,0.0,123.0,0.0,22.0,100.0,22.0,123.0,123.0
00:01:22,123.0,591.6415194186426,0.0,21.5,0.0,362.25,,0.0,123.0,0.0,364.0,100.0,977.8000000000003,123.0,123.0
00:01:23,,,1.0,,1.0,,22855.0,0.0,,,,99.995,,,
00:01:24,107.625,318.55415552147485,0.0,25.5,0.0,196.5,123.0,3.0,123.0,40.67842640761808,166.5,100.0,626.3999999999999,123.0,123.0
00:01:25,123.0,12.577261228105266,1.0,29.0,1.0,32.75,,3.0,123.0,0.0,38.0,99.999,47.0,123.0,123.0
00:01:26,123.0,1.9390719429665317,0.0,18.0,0.0,19.2,,0.0,123.0,0.0,21.0,100.0,21.6,123.0,123.0
00:01:27,123.0,148.55465113889906,0.0,18.5,0.0,104.375,,0.0,123.0,0.0,105.0,100.0,357.3,123.0,123.0
00:01:28,123.0,839.7139036600502,0.0,37.0,0.0,645.6,,0.0,123.0,0.0,1016.0,100.0,1689.8000000000002,123.0,123.0
00:01:29,123.0,461.0,0.0,480.0,0.0,480.0,,0.0,123.0,0.0,710.5,100.0,848.8000000000001,123.0,123.0
00:01:30,123.0,121.99237225699353,0.0,38.0,0.0,91.16666666666667,,0.0,123.0,0.0,69.0,100.0,217.0,123.0,123.0
00:01:31,123.0,352.00256470025266,1.0,35.0,2.0,191.83333333333334,8809.0,0.0,123.0,0.0,61.25,99.998,522.5,123.0,123.0
00:01:32,123.0,440.7269247756736,1.0,173.0,0.0,396.6666666666667,,0.0,123.0,0.0,775.0,99.999,999.0,123.0,123.0
00:01:33,,,1.0,,1.0,,591.0,0.0,,,,99.999,,,
00:01:34,123.0,8.97063109386526,0.0,42.0,0.0,40.833333333333336,,0.0,123.0,0.0,49.75,100.0,50.0,123.0,123.0
00:01:35,123.0,439.7450018666121,0.0,223.0,0.0,420.0,,0.0,123.0,0.0,851.5,100.0,1012.0,123.0,123.0
00:01:36,123.0,1049.8338625177266,0.0,391.5,0.0,818.1666666666666,,0.0,123.0,0.0,858.25,100.0,2030.5,123.0,123.0
00:01:37,,,0.0,,0.0,,,1.0,,,,100.0,,,
00:01:38,123.0,0.816496580927726,0.0,18.0,0.0,18.0,22176.0,0.0,123.0,0.0,18.5,100.0,18.8,123.0,123.0
00:01:39,123.0,14.379690893898994,1.0,18.0,1.0,26.285714285714285,20040.0,2.0,123.0,0.0,33.5,99.999,49.0,123.0,123.0
00:01:40,105.42857142857143,106.17736412748823,1.0,21.0,1.0,61.714285714285715,,3.0,123.0,43.04103405176155,26.5,99.998,144.6000000000001,123.0,123.0
00:01:41,123.0,893.1353480856079,0.0,181.5,0.0,637.5,38177.0,0.0,123.0,0.0,788.25,100.0,2152.2,123.0,123.0
00:01:42,105.42857142857143,1057.3559630763243,1.0,19.0,1.0,499.7142857142857,9441.0,0.0,123.0,43.04103405176155,185.0,99.996,1440.200000000001,123.0,123.0
00:01:43,98.4,120.83807347024364,1.0,19.0,1.0,78.4,,0.0,123.0,49.2,36.0,99.998,205.8,123.0,123.0
00:01:44,,,2.0,,2.0,,6241.5,0.0,,,,99.999,,,
00:01:45,98.4,125.79507144558566,0.0,21.0,0.0,79.0,202.0,1.0,123.0,49.2,25.0,100.0,208.00000000000003,123.0,123.0
00:01:46,123.0,1078.4465017528023,1.0,31.0,2.0,542.0,,0.0,123.0,0.0,267.0,99.996,1547.200000000001,123.0,123.0
00:01:47,123.0,937.1166808190898,1.0,89.0,0.0,450.57142857142856,,0.0,123.0,0.0,131.5,99.999,1187.200000000001,123.0,123.0
00:01:48,123.0,0.4330127018922193,0.0,20.0,0.0,19.75,30031.0,0.0,123.0,0.0,20.0,100.0,20.0,123.0,123.0
00:01:49,237.33333333333334,2270.0730837476476,2.0,41.0,2.0,1061.1666666666667,,0.0,380.25,161.69175063132386,76.5,99.999,3112.5,123.0,466.0
00:01:50,466.0,321.5297618496646,0.0,14.0,0.0,189.57142857142858,,4.0,466.0,0.0,170.0,100.0,567.8000000000002,466.0,466.0
00:01:51,466.0,15.077577170531523,2.0,17.5,2.0,25.0,15335.5,0.0,466.0,0.0,28.25,99.998,43.5,466.0,466.0
00:01:52,431.7,89.47714792057243,0.0,64.0,0.0,87.2,,0.0,466.0,102.90000000000002,75.0,100.0,114.09999999999991,466.0,466.0
00:01:53,466.0,850.1973300357982,0.0,369.5,0.0,734.0,,0.0,466.0,0.0,853.5,100.0,1651.8000000000004,466.0,466.0
00:01:54,351.6666666666667,2659.6861970290156,1.0,931.0,1.0,2335.0,26966.0,0.0,466.0,161.69175063132386,3495.0,99.996,5033.400000000001,294.5,466.0
00:01:55,,,0.0,,1.0,,51410.0,0.0,,,,100.0,,,
00:01:56,388.3333333333333,130.7866158629731,1.0,13.5,0.0,77.16666666666667,,0.0,466.0,173.6679462524837,45.5,99.996,211.5,466.0,466.0
00:01:57,466.0,0.0,0.0,147.0,0.0,147.0,,0.0,466.0,0.0,147.0,100.0,147.0,466.0,466.0
00:01:58,432.7142857142857,271.98376489663303,1.0,70.5,1.0,170.21428571428572,43660.0,0.0,466.0,120.0133495975871,97.5,99.997,385.1000000000001,466.0,466.0
00:01:59,331.1666666666667,20.00347192086636,0.0,20.0,1.0,25.833333333333332,48170.0,0.0,466.0,193.96083510738853,40.25,100.0,51.5,208.75,466.0
00:02:00,349.5,132.2637043939115,1.0,16.5,0.0,87.25,47766.0,0.0,466.0,201.7839190817742,94.0,99.998,227.20000000000005,349.5,466.0
00:02:01,466.0,446.95216746314145,1.0,14.0,1.0,378.6,,0.0,466.0,0.0,924.0,99.999,926.4,466.0,466.0
00:02:02,,,0.0,,0.0,,,3.0,,,,100.0,,,
00:02:03,466.0,13.30100246848585,0.0,14.5,0.0,20.5,,0.0,466.0,0.0,17.25,100.0,34.0,466.0,466.0
00:02:04,372.8,1874.3143386315967,0.0,14.0,0.0,949.4,54437.0,0.0,466.0,186.39999999999998,23.0,100.0,2828.0000000000005,466.0,466.0
